timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784281960.087004,651693.3699999994,-43,-4,1017,179,20503
1784281960.3588135,651693.3699999994,-43,-4,1017,179,20503
1784281960.5910718,651693.3699999994,-43,-4,1017,179,20503
1784281960.8003185,651693.3699999994,-43,-4,1017,179,20503
1784281961.0149574,651693.3699999994,-43,-4,1017,179,20503
1784281961.2441359,651697.6699999993,-43,-4,1017,179,20503
1784281961.5391066,651697.6699999993,-43,-4,1017,179,20503
1784281961.769023,651697.6699999993,-43,-4,1017,179,20503
1784281961.9697986,651697.6699999993,-43,-4,1017,179,20503
1784281962.2154603,651693.3699999994,-43,-4,1017,179,20503
1784281962.435133,651693.3699999994,-43,-4,1017,179,20503
1784281962.6526923,651693.3699999994,-43,-4,1017,179,20503
1784281962.8806653,651701.9699999994,-28,-4,1018,179,20518
1784281963.1081438,651702.7699999994,-28,-4,1018,179,20518
1784281963.359675,651702.7699999994,-28,-4,1018,179,20518
1784281963.581611,651702.7699999994,-28,-4,1018,179,20518
1784281963.7980099,651702.7699999994,-28,-4,1018,179,20518
1784281964.0038908,651702.7699999994,-28,-4,1018,179,20518
1784281964.2178578,651702.7699999994,-28,-4,1018,179,20518
1784281964.5489068,651702.7699999994,-28,-4,1018,179,20518
1784281964.7926605,651702.7699999994,-28,-4,1018,179,20518
1784281964.9977133,651702.7699999994,-28,-4,1018,179,20518
1784281965.2076244,651702.7699999994,-28,-4,1018,179,20518
1784281965.4775622,651700.3699999994,-28,-4,1018,179,20518
1784281965.7395434,651700.3699999994,-28,-4,1018,179,20518
1784281965.9528072,651700.3699999994,-28,-4,1018,179,20518
1784281966.1673634,651700.3699999994,-28,-4,1018,179,20518
1784281966.4170752,651700.3699999994,-28,-4,1018,179,20518
1784281966.6701598,651700.3699999994,-28,-4,1018,179,20518
1784281966.8848934,651700.3699999994,-28,-4,1018,179,20518
1784281967.1571994,651700.3699999994,-28,-4,1018,179,20518
1784281967.402602,651700.3699999994,-28,-4,1018,179,20518
1784281967.7046304,651700.3699999994,-28,14,1019,179,20536
1784281967.924388,651700.3699999994,-28,14,1019,179,20536
1784281968.1252155,651698.9699999994,-28,14,1019,179,20536
1784281968.36408,651703.1699999993,-28,38,1020,179,20560
1784281968.5961967,651703.1699999993,-28,38,1020,179,20560
1784281968.8190029,651705.9699999994,-28,38,1020,179,20560
1784281969.0467677,651705.9699999994,-28,38,1020,179,20560
