timestamp,pnl,cash,posA,posB
1782940477.1632085,5493.401999999968,5493.401999999968,0,0
1782940482.1632874,5493.401999999968,5493.401999999968,0,0
1782940487.163335,5493.401999999968,5493.401999999968,0,0
1782940492.1634316,5493.401999999968,5493.401999999968,0,0
1782940497.1634443,5493.401999999968,5493.401999999968,0,0
1782940502.1635284,5496.301999999968,5495.701999999968,3,-3
1782940507.1636097,5495.101999999968,5495.101999999968,0,0
1782940512.1636806,5495.10199999997,5495.401999999969,-3,3
1782940517.1637335,5494.80199999997,5496.201999999969,-7,7
1782940522.1637669,5487.101999999972,5511.601999999972,-49,49
1782940527.1637967,5467.501999999971,5511.601999999972,-49,49
1782940532.1638958,5472.401999999972,5511.601999999972,-49,49
1782940537.1639483,5494.201999999972,5518.201999999973,-60,60
1782940542.163953,5470.201999999973,5518.201999999973,-60,60
1782940547.1640997,5489.401999999974,5507.901999999974,-37,37
1782940552.1642172,5496.801999999974,5507.901999999974,-37,37
1782940557.164307,5494.201999999974,5504.6019999999735,-26,26
1782940562.1643856,5500.801999999975,5501.101999999975,-3,3
1782940567.1644006,5500.9019999999755,5416.601999999975,-13,14
1782940572.1644728,5500.901999999976,5505.101999999975,-14,14
1782940577.1645331,5498.301999999976,5513.101999999975,-37,37
1782940582.1645446,5502.001999999975,5513.101999999975,-37,37
1782940587.164614,5502.001999999976,5509.801999999976,-26,26
1782940592.164638,5512.4019999999755,5509.801999999976,-26,26
1782940597.1646512,5506.301999999977,5506.301999999977,0,0
1782940602.1646855,5506.301999999977,5506.301999999977,0,0
1782940607.1647456,5506.301999999977,5506.301999999977,0,0
1782940612.1647785,5506.301999999977,5506.301999999977,0,0
1782940617.1648576,5504.501999999977,5506.601999999977,-3,3
1782940622.1648834,5508.701999999977,5508.701999999976,-13,13
1782940627.164951,5506.101999999977,5508.901999999976,-14,14
1782940632.1649933,5495.901999999977,5518.101999999977,-37,37
1782940637.1650662,5507.001999999978,5518.101999999977,-37,37
1782940642.1651561,5499.601999999978,5524.101999999978,-49,49
1782940647.165244,5525.30199999998,5539.501999999979,-71,71
1782940652.1652675,5525.301999999979,5522.701999999979,-26,26
1782940657.1653945,5529.301999999979,5534.201999999979,-49,49
1782940662.165397,5514.301999999981,5527.301999999981,-26,26
