timestamp,buy_venue,sell_venue,gap,units,reducing
1786139397.7588067,OB5X_202703_F,BASKET,0.1036,1,1
1786139405.2088068,OB5X_202706_F,OB5X_ETF,0.0539,44,1
1786139422.3060255,OB5X_ETF,OB5X_202703_F,0.2082,4,0
1786139427.3901162,OB5X_202612_F,OB5X_ETF,0.4432,4,0
1786139456.8078601,OB5X_ETF,OB5X_202706_F,0.0839,48,1
1786139466.6325285,OB5X_202612_F,OB5X_ETF,0.0113,48,1
1786139479.376137,OB5X_ETF,OB5X_202612_F,0.1004,48,1
1786139535.2865753,BASKET,OB5X_202703_F,0.1386,9,0
1786139545.854704,OB5X_202706_F,BASKET,0.6401,5,1
1786139562.634925,OB5X_202706_F,OB5X_ETF,0.0015,48,1
1786139568.3480263,OB5X_ETF,OB5X_202706_F,0.1052,48,1
1786139659.7981303,BASKET,OB5X_202612_F,0.1465,5,0
1786139661.237894,OB5X_202703_F,BASKET,0.0948,14,1
1786139671.1182356,BASKET,OB5X_202706_F,0.2137,14,0
1786139677.5186262,OB5X_202706_F,BASKET,0.0624,6,1
1786139678.8331947,OB5X_202703_F,BASKET,0.0204,1,1
1786139682.4844098,BASKET,OB5X_202612_F,0.3986,7,0
1786139688.3812697,OB5X_202706_F,OB5X_ETF,0.2133,48,1
1786139692.2335713,OB5X_ETF,BASKET,0.0266,6,1
1786139692.9770572,BASKET,OB5X_202703_F,0.1481,5,0
1786139693.4656978,OB5X_ETF,OB5X_202706_F,0.2905,42,1
1786139723.742477,OB5X_202612_F,BASKET,0.0334,6,1
1786139745.4552882,BASKET,OB5X_202612_F,0.6733,6,0
1786139746.3728778,OB5X_202706_F,BASKET,0.0061,6,1
1786139746.6355312,OB5X_202706_F,BASKET,0.0057,1,1
1786139778.3179688,BASKET,OB5X_202703_F,0.1165,7,0
1786139788.8163784,OB5X_202706_F,BASKET,0.3256,6,1
1786139788.8675308,OB5X_202612_F,BASKET,0.2313,1,1
1786139843.2244697,BASKET,OB5X_202706_F,0.2164,7,0
1786139853.14041,OB5X_202706_F,OB5X_ETF,0.6659,48,1
1786139861.7999873,OB5X_ETF,OB5X_202703_F,1.0547,9,0
1786139863.716292,OB5X_202706_F,BASKET,0.2921,6,0
1786139863.7854676,OB5X_202706_F,OB5X_ETF,0.267,9,0
1786139863.889244,OB5X_202703_F,BASKET,0.2518,1,1
1786139865.012303,OB5X_ETF,OB5X_202706_F,0.3311,48,1
1786139893.949042,BASKET,OB5X_202706_F,0.1327,6,0
1786139897.9031606,OB5X_202703_F,BASKET,0.2139,7,1
1786139897.9609835,OB5X_202612_F,BASKET,0.1646,1,1
1786139899.2161171,BASKET,OB5X_ETF,0.1579,8,0
1786139899.7786348,OB5X_ETF,BASKET,0.1191,7,0
1786139900.1189907,OB5X_ETF,BASKET,0.1191,1,0
1786139902.1912856,BASKET,OB5X_202706_F,0.2142,8,0
1786139903.6124501,OB5X_202706_F,OB5X_ETF,0.7722,1,1
1786139907.0741088,OB5X_202703_F,BASKET,0.1337,7,1
1786139908.8887026,OB5X_ETF,OB5X_202612_F,0.514,1,0
1786139912.012567,OB5X_202703_F,BASKET,0.062,1,1
1786139912.0574744,OB5X_202703_F,OB5X_ETF,0.2311,48,1
1786139913.4272783,OB5X_ETF,OB5X_202703_F,0.0654,48,1
1786139917.3544855,BASKET,OB5X_202706_F,0.1237,8,0
1786139920.7252302,OB5X_202703_F,BASKET,0.1178,7,1
1786139920.7792435,OB5X_202612_F,BASKET,0.0755,1,1
1786139924.9614856,BASKET,OB5X_202612_F,0.3133,8,0
1786139937.3292365,OB5X_202706_F,OB5X_ETF,0.0813,48,1
1786139938.7499044,OB5X_ETF,BASKET,0.0261,7,1
1786139939.8835545,OB5X_ETF,BASKET,0.0516,1,1
1786139940.7585292,OB5X_ETF,OB5X_202706_F,0.7119,40,1
